book_id,title,genre
1,"The Hunger Games (The Hunger Games, #1)",dystopia|dystopian|fantasy|fiction|young-adult
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",fantasy|fiction|harry-potter|series|young-adult
3,"Twilight (Twilight, #1)",fantasy|fiction|paranormal|vampires|young-adult
4,To Kill a Mockingbird,classic|clàssics|favourites|historical-fiction|school
5,The Great Gatsby,classic|fiction|historical-fiction|literature|school
6,The Fault in Our Stars,contemporary|favourites|fiction|romance|young-adult
7,The Hobbit,adventure|classic|fantasy|fiction|young-adult
8,The Catcher in the Rye,classic|clàssics|fiction|literature|young-adult
9,"Angels & Demons  (Robert Langdon, #1)",dan-brown|fiction|mystery|suspense|thriller
10,Pride and Prejudice,classic|favourites|fiction|historical-fiction|romance
11,The Kite Runner,afghanistan|contemporary|favourites|fiction|historical-fiction
12,"Divergent (Divergent, #1)",dystopian|fantasy|fiction|science-fiction|young-adult
13,1984,classic|dystopian|fiction|sci-fi|science-fiction
14,Animal Farm,classic|dystopia|fantasy|fiction|literature
15,The Diary of a Young Girl,biography|history|memoir|non-fiction|nonfiction
16,"The Girl with the Dragon Tattoo (Millennium, #1)",crime|fiction|mystery|series|thriller
17,"Catching Fire (The Hunger Games, #2)",dystopia|fantasy|sci-fi|series|young-adult
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",fantasy|favourites|fiction|harry-potter|young-adult
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",adventure|classic|fantasy|fiction|series
20,"Mockingjay (The Hunger Games, #3)",dystopia|dystopian|fantasy|fiction|young-adult
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",all-time-favorites|children|fantasy|fiction|young-adult
22,The Lovely Bones,contemporary|fantasy|fiction|mystery|young-adult
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",fantasy|fiction|harry-potter|series|young-adult
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",fantasy|fiction|harry-potter|series|young-adult
